smiles
CCCCC(C)CC1CCC1.CC(C)C
CC(C)C(C)(C)CC(C)C(C)C(C)(C)C
CCCC(C(C)CC)C(C)(C)CC(C)C
CCCCC(C)(C)C(C)CC(CC)CC
CCC(C)CC(C)C(C)CC(C)C(C)C
CCCCC(C)C(C)CC(C)(C)C(C)C
CC.CC.CCC=CC.CC=CC=CC
CCCC(C)(CC(C)(C)C)CC(C)(C)C
CCC(CC)C(C)CC(C)C(C)C(C)C
CCCCCC(CCC)C(CC)C(C)C
C.C.CC.CCCC.CC1=CC=CC=C1
CCCC(C)(CCC)C(CC)C(C)CC
CC.CCCC(CC)CC1CCC(C1)C
CCCC(C)(CC)C(CC)(CC)C(C)C
CC(C)CCC(C)CCCCC(C)(C)C
CC.CCC1CC(CC(C1)(C)CC)(C)C
CCCC(C)C(CC)CC(C)C(C)CC
CCCCC(C)CC(C)C(C)(C)CCC
CC(C)CCCCCC(C)(C)CC(C)C
CCCCC(C)CCCC(C)CCCC
CC(C)CCCC(C)CC(C)C(C)(C)C
CC(C)CCCCC(C)CC(C)C(C)C
CCCCC(C)(C)CCCCC(C)CC
CCCCCC(CCCCC)CC(C)C
CC.CC.CC.CC(=CC=C)C=C.C=C
CCCCC(C)(C)CCC(C)(C)CCC
CC(C)CC(C)(C)C(C)C(C)(C)C(C)C
CCCCC.CC1CC(CC(C1)(C)C)C
CCCCCC(CC)CCC(C)CCC
CCC.CC1CC(CC(C1)(C)C)C(C)C
CC.CC.CC=C(C)C1CCCCC1C
CCCC(C)(CCCC(C)C)C(C)CC
CCCCC(C)C.CCC1CCCCC1
CCCCC.CCCC=C.CCC=CC
CC.CCCC1C(CCC(C1C)CC)C
CCCCCC.CC(C)C1CCCCC1
CC(C)CCCCCC(C)CCC(C)C
CC.CC.CC1CC2(CCCC2)CC1C
CCCC(CCC)CC(CC)CC(C)C
CCCCCC(C)CCC(C)CCCC
CC.CCC1CC(C(CC1CC)(C)C)C
CCCC(CC)C(CC)CC(C)(C)CC
C.CC1CCCC(C(CCCC1C)C)C
CCC(C)C(C)C(CC(C)C)CC(C)C
CCCCCC(C)CCC(C)CC(C)C
CCC(C)CCCCCCCC(C)CC
CCCCCCCC(CCCC)C(C)C
CCC(C)CC(CCC(C)C)C(C)CC
CC.CC.CC1CCC2(C1)CCC(C2)C
CCC(C)CC(C)(CC)CC(C)C(C)C
CCC(C(C)C)C(C)C(C)C(C)C(C)C
C.C.CCC.C1C2CC3CC1CC(C2)C3
CCCCC(C)CC(C)CCC(C)(C)C
CC(C)(C)CCCCCCCC(C)(C)C
CC.CC1CCCC1.C=C.C1CCCC1
CCCCCC.CCCCCCC.C#C
CCCC(C)C(C)C(C)(CC)CC(C)C
CCC(C)(C)C(CCC(C)C)CC(C)C
CCCCCCCC(CC)CC(C)(C)C
CCC(CC)C(CC)CC(C)C(C)(C)C
CCCCCCCCC(C)C(C)C(C)C
CC[CH](CC[CH](C)C(C)(C)CC)C(C)C
CCCCC(C)CCC(CC)CCCC
CC.CC.C[CH]1C[CH]2C[CH]([CH]1C)C2(C)C
CCC(C)C(C)(C)C(C)C(C)C(C)(C)C
CCCCC(CC)(CC)C(C)C(C)CC
CCCC.CCC[CH](C)C1CCCCC1
CCCC(C)CCCC(CC)CC(C)C
CCCCCCCCC(C)(C)CC(C)C
C.CC.CCCC1C(CCC=C1CC)C
CC.CC.CC.CCC(=CC=CC=C)C
CCC[CH](C)C(C)(C)C.CCC(=C)CC
CCCC(C(C)C)C(C)C(CC)C(C)C
CCC(CC(C)(C)C)C(C)C(C)C(C)C
CCCCC(CC)C(C)CC(C)CCC
CCCCCC(C)CCC(CC)CCC
C.C.C.CC.CCCCC1=CC=CC=C1
CCCCCC(C)C(CCC)CCCC
CCCCC(CC)C(C)CC(C)C(C)C
CCCC(C)C(C)C(CC)CCC(C)C
CCCCCCCC(C)(C)C(C)C(C)C
CC.CCC1CCCC1.CCC1CCC1
CCC(C)CC(CCC(C)C)CC(C)C
CCCCCCC(CCC(C)C)C(C)C
CCCCCCC(C(C)(C)C)C(C)(C)C
CC.CCCC=C.CC1CCCCC1C
CCCCCC.CCCCC1CCC1C
CCCCC(C(C)CCC)C(C)C(C)C
CCC(C(C)CC(C)(C)CC)C(C)(C)C
CC(C)(C)CCC(C(C)(C)C)C(C)(C)C
CCC(C)(C)C(C)(C)CC(C)CC(C)C
CCCCCCCCC(C)C(C)(C)CC
CCC(C)(C)CC(C)C(C)C(C)C(C)C
CCCC(C)CC.CC1CCC1C(C)C
CCCCC(C)(CC)C(C)(CC)CCC
CCC(C)C(C)CC(CC)CCC(C)C
CCCCCC(CCCC)CCC(C)C
CCC(C)(C)CC.CC1CCC(CC1)C
CCC(CC)C(C)(C)C(C)C(C)C(C)C
CCCCC(C)(C)C(C)CC(C)CCC
CC.CC.CC1CC2CCCCC2C1C
CCCC(C)C(C)C(CC)C(C)CCC
CCC(C)C(C(C)C)C(C)C(C)C(C)C
CC.CCC1(CCC(CC1)(C)C)C(C)C
CCC(CCCC(C)(C)C)CC(C)(C)C
CCC(C)CCCC(CC)CC(C)(C)C
CC.CCC(C)C(C)(C)C1CCCCC1
CCCCC(CCC)(CCCC)C(C)C
CCC(C(C)C)C(C)(C)CCCC(C)C
CCC(C)CC(CC)CC(C)CC(C)C
CCCCC(CCCC)CC(CC)CC
CCCC(C)(C)CCCCC(C)(C)CC
CCC(C)C(C)CCCCCCC(C)C
CC[CH](C)C[CH](C)C[CH](C)C[CH](C)CC
CCCC(CC)CC(CCC)CC(C)C
CCC(C)CCCC(CC)CC(C)CC
CCCCCCCCCC(C)C(C)CC
CCC(C)CC(C)CC(C)(CC)C(C)C
CC.CCCCCCC1(CCCC1)CC
CCCCCCC(C)(C)C(C)(C)CCC
CC.CC.CC.CCC(=CC=CC)C=C
CCC(C)C(CC)C(CC)C(C)(C)CC
CC.CC.CCCC1CCC=C(CC1)C
CCCCCC(CC)CCCCC(C)C
CCCCCC(C)(C)CCCC(C)(C)C
CCCCC(CCC)C(C)(CC)CCC
CCC(C)C(CC)C(CC)CCC(C)C
CCC(C)(CC(C)C(C)C(C)C)C(C)C
C[CH](CCCCCC(C)(C)C)C(C)(C)C
CC(C)CCC(C)CCCC(C)C(C)C
CCC(CC(C)C)C(C)(C)C(C)(C)CC
CCCCC(C)C(C)(CCCC)C(C)C
CCC(C)(C)CC.C[CH]1CCCC[CH]1C
CCCC(CC)CC(CC)C(C)C(C)C
CCCCCCCC(C)CCCCCC
CC.CCC.CCC(C)CC.C#C.C#C
CCCC(C)(CC)CC(CC)C(C)CC
CCC(C)C(C)CCC(C)(C)C(C)CC
CCCCCCCCC(C)(CC)C(C)C
CCCCCC(C)(C)CCC(C)C(C)C
CCCC(C)(C)CC(C)C(C)CC(C)C
CCCC(C)(CCC)C(C)CC(C)(C)C
CCC(C)CC(C)CCCCCC(C)C
CCCC(C)C(C)C(C)(CC)C(C)CC
CC(C)C(C)CCCC(C)C(C)C(C)C
CCC(CC(C)(C(C)C)C(C)C)C(C)C
CC.CC1CCCCC1.CC1CCCC1
CC.CC1CC(CCC1C(C)C)C(C)C
CCCCC(CC)CCCCC(C)CC
C.C.C.CC.CCCC1=CC=C(C=C1)C
CCC.CC(C)(C)CC=CCC(C)(C)C
CCCCCC(CC)CCC(C)(C)CC
CCCCC(C)(CCC(C)CC)C(C)C
CC(C)C(C)(C(C)C)C(C)(C)C(C)(C)C
CC1CCCC1.CC1CC1.CC(C)(C)C
CCCCCCC(C)C(C)C(C)CCC
CCCCCCCC(CCC)C(C)(C)C
CCCCCC(CCC)C(CC)CCC
CC(C)C.CC(C)(C)C.C1CCC=CC1
CC(C)C(C)C(C)C(C)C(C)C(C)(C)C
C.C.C.CC.CC=CC1=C(CCC1)C=C
C.CC(CCC=C(C)C)CCC(C)(C)C
CCC.CC1CCCC1.CC1CCCC1
CC(C)CCCC(C)C(C)CC(C)(C)C
CCC(C)C(C)C(CC)CCCC(C)C
CCCC(C)(C)C(C)(C(C)C)C(C)(C)C
CCC(C)C(C)CCC(C)C(CC)CC
CC(C)CC(C)CCCCC(C)C(C)C
CC.CCCC.CC=CC.CC=CC=C
CCC(C)(CC(C)(CC)C(C)C)C(C)C
CCC.C1CCC1.C1CCC1.C1CCC1
CCC(CCC(C)C(C)(C)C)C(C)(C)C
