Isomer_Name,Full_Algebraic_Signature
CC1=C(C)C=CC=C1,031E3A46F4BD14CB1CDAA3706109EDFC16225A79BF110DAEAAD79199A57315BD031E3A46F4BD14CB1CDAA3706109EDFC16225A79BF110DAEAAD79199A57315BD5EA25340EA808C256B669C1113CB3E12AA0AAF60345769518D532B9017CFC0255EA25340EA808C256B669C1113CB3E12AA0AAF60345769518D532B9017CFC0256DCFA45F1003A8AF793DAC51271B71055381CB312106E3582EA987C25634AF176DCFA45F1003A8AF793DAC51271B71055381CB312106E3582EA987C25634AF17C231E9A9DD455A894C729C0F6041621F752639192281691F6B67D669D8C259C1C231E9A9DD455A894C729C0F6041621F752639192281691F6B67D669D8C259C1
CC1=CC(C)=CC=C1,28140DE1195CE210CA542FA2C3CC4BBB0C5748839AA686C98273EDABA0BEDAF02CCF0ECE76EA2975737B8959733E0C198F3503292BDB19E722D50EC7437C14702FC379512AF52C7466C8C96A2CDC3CE6C9308DDC490A848492B8C48200B4B1CF44F51BE68A8A6B37BBF34516525DC882FCEB827965C75468F3F8BBE80B0E0FD653F775814F1724C8D6265E21D786E48156C135B5D75DE25316D82507A07491C25B1028D1664973EA1688B5978BA4DA17E080074794985808BFBA10B4A3D1C973AA2EABF43FF74ED011149988D9F90BFFEC97DDE40EA15C95432CDF58659D415CFF822F8AAC8AD0D5F56AEA94D7CAA83214A642C8788C90DEEA3FA0CB35A27764
CC1=CC=C(C)C=C1,0A3E41F3B219F6B97EC3EC99BCF5DDA57A3AE6F1C3F830978D81FC3D2A6A1A3F0A3E41F3B219F6B97EC3EC99BCF5DDA57A3AE6F1C3F830978D81FC3D2A6A1A3F3A71D9B0864A87EFE992466550DD904F97AB0682F2C590080D08248837F8D9613A71D9B0864A87EFE992466550DD904F97AB0682F2C590080D08248837F8D96150A6A8B6331CA059DDC0B7776C164B8DDFA815C07FA94019361561A4AE13442450A6A8B6331CA059DDC0B7776C164B8DDFA815C07FA94019361561A4AE13442488BE80CADD9D89AF69D5ED120295161FED2BC0E9E55E12485E60203E12D7750B88BE80CADD9D89AF69D5ED120295161FED2BC0E9E55E12485E60203E12D7750B
