Molecule_Name,Head_Hash_64bit,Tail_Hash_64bit,Full_Algebraic_Signature
C1CCC2CCCCC2C1,3356D62977950745,AC4445C33AAA9C1C,3356D6297795074585F16511429F89A7140C13767B96B7F2BCA53A90BB1FF4893356D6297795074585F16511429F89A7140C13767B96B7F2BCA53A90BB1FF4893356D6297795074585F16511429F89A7140C13767B96B7F2BCA53A90BB1FF4893356D6297795074585F16511429F89A7140C13767B96B7F2BCA53A90BB1FF48964E108F12757C734BC7763D58DC0F05ED9D82B265626CC700BD9F2DDBBF4965964E108F12757C734BC7763D58DC0F05ED9D82B265626CC700BD9F2DDBBF4965964E108F12757C734BC7763D58DC0F05ED9D82B265626CC700BD9F2DDBBF4965964E108F12757C734BC7763D58DC0F05ED9D82B265626CC700BD9F2DDBBF49659CF55F44040A4256AF7776209DE981411E391DDA6DEFD72C3AC4445C33AAA9C1CCF55F44040A4256AF7776209DE981411E391DDA6DEFD72C3AC4445C33AAA9C1C
C1CCC(C1)C2CCCC2,2DEC12E1F32DFF65,6FED6A1252AF4017,2DEC12E1F32DFF65988EB5B3B240C04C3EB79C098D537E941AF381764E8217C62DEC12E1F32DFF65988EB5B3B240C04C3EB79C098D537E941AF381764E8217C62DEC12E1F32DFF65988EB5B3B240C04C3EB79C098D537E941AF381764E8217C62DEC12E1F32DFF65988EB5B3B240C04C3EB79C098D537E941AF381764E8217C654ED80BE735689FEE3E1FB298FD1C5310FC0A2852E363CA95F37C70476B63FE554ED80BE735689FEE3E1FB298FD1C5310FC0A2852E363CA95F37C70476B63FE554ED80BE735689FEE3E1FB298FD1C5310FC0A2852E363CA95F37C70476B63FE554ED80BE735689FEE3E1FB298FD1C5310FC0A2852E363CA95F37C70476B63FE5B39266FDC8C3CF2851C1974BEC791346945E20CB5527285C6FED6A1252AF4017B39266FDC8C3CF2851C1974BEC791346945E20CB5527285C6FED6A1252AF4017
