Isomer_Name,Full_Algebraic_Signature
C.C.CC.CCCC.CC1=CC=CC=C1,2EBDBE1CC0E61B000C6BB3A9A07B7B2744377BFEC2A1FC2609911334A9678B232EBDBE1CC0E61B000C6BB3A9A07B7B2744377BFEC2A1FC2609911334A9678B233A93DDDD484D95CB96A7422395627E6671AB8A00681127B1D6D521E6611D734F49D622EC31E4DE58154FBF108F0BEE3B9A3FBD56C6134242FC3C56BD7CD30EFE49D622EC31E4DE58154FBF108F0BEE3B9A3FBD56C6134242FC3C56BD7CD30EFE4D515FD6B862BA052812B6E9EBCDF1D9BA56362A5A356BFA46BE330929D3FF3453741BDC58E73FF243EE4ECE7C00285111AE902BDB6F7A6E4913BB24A0E21AC261660B4B48316A4948EF87A3E0945D21438BF3CFB7B788372B89E7488A3598D761660B4B48316A4948EF87A3E0945D21438BF3CFB7B788372B89E7488A3598D7A3C880BF5C0F0F8BCAF2D15AB9224162F1B06F1B00854CC09CA150F4253E633CAAF1B3B917303B2FC129514DE309DF15E3ED61BDBA6F0F2D91675EE4919C1B1FC6670AA03B704D30AF6A2CA17B55183E29386622B9E455908856B40741A27F26F97A779FB6207F64FED09F18D81CB7F6CF73A9A3623F628FA25552B8C536BA68FD3E35AE69054450C79277D61A9F3CED54A3168D06CB3032CF9C9F8D27D2C992FD3E35AE69054450C79277D61A9F3CED54A3168D06CB3032CF9C9F8D27D2C992
CCCC(C)(CCC)C(CC)C(C)CC,0A3EF4BA64276E6FA01509B7BF7C85DB53A50E6FF531E1C48B465CFD66FBAE913F445E1455820E00DD8CD791E55EF3FA8CB2EE603A241352A17B06CCD3C9E85E4780C57323738F4EA749DCE6E135D1212B0BFD71BC788A8DADED320E8CAA169858A0184F2B671FCDD80FB46678148D9616D9CD97B7AE9F4862DB84D83CBF77B6621F881401A8804A5E0DAC934D48238AA8F35CE84C1A86BB08E4DBDC01395BF3652A591FBA33BEE4D6CE8B9EA31F951712F80E8FD9874C546CC78220E01D14B8937806B2582AE54D6604FC19995ABCEA38612ABB58C81CC53C382514C7A35C54937806B2582AE54D6604FC19995ABCEA38612ABB58C81CC53C382514C7A35C54C117B8B587FAF85FC69D6338B32CF096FE1F4BD49C56A44C2BF039D2B8F86C90D6F5385767A0D355FC86AE4F568314B72EDC3C40BE4BCBC883E033F98190109DECAEE6ECC444A0CE26135743E809D3D864D69E997DDA88E717EB7EC6E9D848EFECAEE6ECC444A0CE26135743E809D3D864D69E997DDA88E717EB7EC6E9D848EFEDFF4B39B388B388F02135766C46B703944A11EFC164A7CE9470BE6A242232F7EDFF4B39B388B388F02135766C46B703944A11EFC164A7CE9470BE6A242232F7F54A96835DB297A7EC59881928AFF60FF7FD9ED19878488A9B8ED58FE0EA1F22
CC.CCCC(CC)CC1CCC(C1)C,040B9D662D5C3BA37D1B83B6291DEB18FA43ED19D2B6A02292CB041F52174F24380431B8DA8AAE713644045FA3A5AC3A6B2A5CB13E7C4CFAF95F5E68D76612CF39BD23FEF8CD2E56DEAF1B4F88798F3B84A2B64DEB41B6FA474EE0E54336943548D3961CCF29E96FD3069A1E01323F70C315829D2FDA3E3083AF32EBB21C280249D622EC31E4DE58154FBF108F0BEE3B9A3FBD56C6134242FC3C56BD7CD30EFE49D622EC31E4DE58154FBF108F0BEE3B9A3FBD56C6134242FC3C56BD7CD30EFE52740554C57057D409BF0F0EF63EA96ED9DC6CEBDD750D0198983B73E80BB43163061274A797C88C68B6A24BA6B3071636027DABF990F52B98EA4EF2AACAE28CABA3690787994C3282465C9C89DEE6F5FF4534C1D88BCF41EF923FE536729EB0AC409F541721D2196BC3A26AA9BA2FC95527F0F35687DE24F176F999A8922A64B756C7AC815684C93864AD4C467FB29907846BAD304EC2867E5076A1943C843AC546D9F260C78EFC46F334B4C024ED81A32A912BDFCDF99A299987D14F009A33CE55AB20D77D6EDFA3BC47027C38C59C05C81B022C1F2D5DA4E25B257399FF9FE3F53D346AC54D3A75E1850F24AD5641DE11A5A0C76A05E132D2AEBC71CAC9BDEB7CAF99515FA1BC16C1B0228A82A79AA569C90A42E460C3C272609A75BD9BD1
CCCC(C)(CC)C(CC)(CC)C(C)C,0ECC80702D47E3152E9340DCE1C69B2904B990819FCE1AA14DD41DD3F3F9C29D365C12C3DA5BBF6E05571C66B0612CD410928C9F713376CBDB1621611EC1AA943746CD4008C877FA6A8177333B453570C72E7BEFD0A62FB3A609D10F21F21C5D427875DF45301A56B14BF36C79852742B1F0870FCAD23FAE11056C8E1DDE63E4427875DF45301A56B14BF36C79852742B1F0870FCAD23FAE11056C8E1DDE63E45961624195DACE92421BF3CCD6FF368AFE40F6EA56E5546782C56BB379A13FDC955F877C58F74686B73A77C90B06DCD9F396E236D9D8E3FA9EB61452508C6403955F877C58F74686B73A77C90B06DCD9F396E236D9D8E3FA9EB61452508C6403965099F10BA74F138DA2054A14675088E826F083D216B5C51AF3465C09EE2202979268110BCC55124B569B0F2DA09F4F97BD8F97F53D87BACDC5A895870A2DCEC833CEAB19FC10F8258102BB89A7B86DEA4B943999B7E202A0E1769B1C169EE4CDB32235BEE61BBA03A55CD8BED6247801922514CFE60B01995A47BB3C2D6498DD24608079F069118789AA802FDE525B910D9382D336ECCB357DFC80582472D7DD24608079F069118789AA802FDE525B910D9382D336ECCB357DFC80582472D7E165CABBD91F9718C2A4EFAA4121309A76C2D3BDDE9999FA7A36887B465BA9F1
CC(C)CCC(C)CCCCC(C)(C)C,0EFFAB29450551CCC4A85FE278CF79BDE3106663D6977B875DC4B4F7D30F482D347103A3320491C2ED28B51421696171971C0B7C4CE962A69B140B297400DC07431A883AF6E33AEB753054CD43680E63A063BF7441CD0E6CFF26F5E6C7A3CC9C4B8E05D0F07D1C5919A81F23CC724C42581208FDCC00ED4332828C4FC8BE55105C6CBDF75A9B7F90B31B65A483D47B23F57707C6AA9FE775FA68BA6B0214F15381044CF7C52812A1F04A24DE4C4139FB54A08B1F6E1C1596956B1DBBB6F247899AC924B29D6B59123122052889688C0D32A4FCD41D7AABAF7116C4FB2741C343B2528E3F7598C720DDACCBE90A4D8A989C7F69800D8C2E6EFFEF588DB0E66689E36974B9A35B2B4397A80E862755B9A00F8745F5AA01E53AD7CBBA083A4B7E05E36974B9A35B2B4397A80E862755B9A00F8745F5AA01E53AD7CBBA083A4B7E05E36974B9A35B2B4397A80E862755B9A00F8745F5AA01E53AD7CBBA083A4B7E05EC2332F897AE06696DACE869CCF58EA1274997B33F6A87CD17193117560D012BEE8D146DB6A39CD8B6357190526986A4EA871797CEA66B904B4F08E31934B0DAF29CD8EBD46CACDB8867075C001B1150EA0A2109A9DCE95D3F80C04183FBD34AF29CD8EBD46CACDB8867075C001B1150EA0A2109A9DCE95D3F80C04183FBD34A
CC.CCC1CC(CC(C1)(C)CC)(C)C,101E1CB1FDEAA0E277173053045D16E7CB7418D722EF8F0AF1635D51F48D690922308BDE0D0DF1AAE1079AA7188B6D0CD6A8252D9A97B6030449E291105BCED134574B20BE0B84AC16138F869DF7DFBB278D5EA71B1689B502AF47171D89CD4F49D622EC31E4DE58154FBF108F0BEE3B9A3FBD56C6134242FC3C56BD7CD30EFE49D622EC31E4DE58154FBF108F0BEE3B9A3FBD56C6134242FC3C56BD7CD30EFE795A5B64EB3720AD83765597394B2F37A49775F49AA8341244E80FD371BEDC647AF49F71B006FA90E72C5A31A467F19EA9640CDEF7D264810D130404B14FF85781AFAD6CF765AD465CD5F351087BD23043B7F12623228B60963F2BBB59F37D7981AFAD6CF765AD465CD5F351087BD23043B7F12623228B60963F2BBB59F37D798797DD670A0A6C0BD57F405700F8CCF64BF1DEB9129426F8F187D38B3312BEA78C800AB48D796AE6DE59E228179CF497C7F09DAC4EAEEDEB2C28AD61EAEC7AB693BFF44FDCE87C26B278B4165B1C991119FC3EB8A242B95EF8D3467675D8AF609F7DCAAD64409E30DA1557E17D39E2F24BEA30E0A57226AD759EAACA512C5428A8A295D93BF5124D9DF36F5916441CBE986D488A40800EC7FE7FF47B6FAD1627DE032AAA31AB3155F82C541F672D2226BF3652E5DB2381AC3468BD2BD8A72C8B
CCCC(C)C(CC)CC(C)C(C)CC,099B74DEFF3AC14578B372FFF53EB3D4EC76FD6A96B7EAB1CFD0B07D3A0A9D521EDF4A480810645931F6539EB5464BCB06F840F9263A2A7E09DB3FE8C255B52636B08D3C51215192E4BF0E8D7D23AD5398469BEC4755F0B2563C08C958C832CB3C8AB37E8963122CF92B15A693D8B8907ECFF9C22C09593EBD95CD7022F1BCFB4092C0124196F3E8652BD79F94ACFF998093B84A3C069D8045F14CCB510870875805783E76FBB9295A191F639908DA3189B77554BBC6559360239CDF5F99A02570067FB8F81496E3D07A4068BA45A2489472539CDC0035401564FCACB25DDE577165466E373CFBE85A6522D36814A4FC9A17649071A62DC499CFCF8964258384929A852C3807C361486BC84DDC77FAC4C8C7CD7628C5929429C759A35CBA4FDFA66581EA3C107A0E5B9366223EDF81A883ABB81A2C4C60D0EFE2B38E653F6DCCE900E3C1171463E9CCB467F6F8D2DD6AE72265B92B8CBC7EEC900748A635129BEEF0CCD321BC2E8D9BDEC69D91BD5B5CA12EA0538A7EDB4A46398782D2B1C9D9F918A262DF4DAFD7ED9726270895D0B863F263C70FB736755E54ED1B8E4FB43AFE7B360C3A7B16D91F37AF2E946B8564A074C80F2F033E27F9EB4D0748E058DCFF5F2DF7113329BB5B2A52DA16DFAFD1134918A1C009B77852F18E7519947A6E
CCCCC(C)CC(C)C(C)(C)CCC,05AB8016F7CFDF9C674542AEB9F81E83B2776B71698BC5464CBC146866A4CFA807A7C448CA2B4A09CE22957296268C24C357594D295CF2DF48F2B35DF1E863E610DC4473954826EFBC494B38F5DEA31217B23FFD2AD9E55C5F6FD5E5A70D37C840066742B26653AEE9EA8B0A8C3C3833442385DABB4470445F6564359761B38A48B931EE303484831B74670682A184DE6E32AD03937E5B3C40D0C9F0D5FD9D7E51E1625761F94C62C9709DE36EF64D4E8B9C02B116410833174BA6BDC1C7677E5992987729F2BB2D3440365EA1825448ADEAD2BE660D1E0092169BC857B55E3C6839402DC58C706198D3938C14E5799017AB568D5240635D68F6CE83EDF112026839402DC58C706198D3938C14E5799017AB568D5240635D68F6CE83EDF112026DC0CD83BABA7A35E438DBBA833FF8840B9A90354FC12E681B8D04939F38ADF675EED04A797EC1A40439AF3481C5BCE73E3EFB4C3347DDF31760B3A715B6D07E950E52A01BABED5EBF9C88E673CD9C42F20E978FF1E49A46DAD049996C4507159AAB8B1843F9008AF130DAC8B341ED5642D9E561CCA6633926EC320F4C8D7EAAA2BE8DB4A263C6C9761BA24285928D764C24C9461F70164A624D668DC89F7803A885320B97EB27B55C608F1A89F3DBF3734D12245B7D05D0C820F0E50FAD5265
CC(C)CCCCCC(C)(C)CC(C)C,24958A6C9A8EFAC426C4BE438BC9E00FF9029ACA3A3C1DA695CEFD0777774DCD577B1D46AFDD609CBADFB0E5D3217307968E42CDCD291DC94C057DDA482DC7915DB3B061A5A632DCE743FC002498FBD975A2F297D0577BE42646C1971BDFB5966F1F316CB1A4EE9B557FAB5E1C68DD9ADAB5DD425B65778A5B67D3DE266F88FB6FA7A3C04D2790ACD212EB655E2A04105B0FEA822A8A35AA756A7D968414D5916FA7A3C04D2790ACD212EB655E2A04105B0FEA822A8A35AA756A7D968414D591A3383CB339CBCC28612A04CDD2AB237829D46B94CB4FE2BCC89CFA90110C984AA3383CB339CBCC28612A04CDD2AB237829D46B94CB4FE2BCC89CFA90110C984AA67FE9998BE9BD65A17B71B15DC92483CDEC274B7798B88DBB7D4463CD09394EC5FF8DE7CA82D9A85D785E0CF813B9FDEFE4A21D669C5AB8D4DE27818EEAE323C61B520D739016EBD0BE0B5A6FA47A2C1A6C94B17EA2FF5F5E3305DD2233AA57D566971F9777A488F2F50540B8FFEB6B6D499158788D454AD999D70BA7F19CC8D747B5E864C34D1597143C91BAB61CFA500832BEA628D4371AA8F2AA76FBC07DE6C661E91501858B71C4B004AF1A369D68E697666F7422B36187F663FCC5359AE6C661E91501858B71C4B004AF1A369D68E697666F7422B36187F663FCC5359A
CCCCC(C)CCCC(C)CCCC,392270B6A6BE7977FA93A7450B07FD284E146C2FA7EA525C6AD6EA963742B3BA392270B6A6BE7977FA93A7450B07FD284E146C2FA7EA525C6AD6EA963742B3BA4FB6A1C06729548C2CE5FE21BDDF5C27D1A4351EF3DB3676A442E10A1BDF23704FB6A1C06729548C2CE5FE21BDDF5C27D1A4351EF3DB3676A442E10A1BDF237061362CF77DE74E9BE2483899F40C245627391912842D02E936FC01ED364BBE6461362CF77DE74E9BE2483899F40C245627391912842D02E936FC01ED364BBE6462C867F26DC496121C0AEDDDED2C98E473E14613ED324E48F5CEDB8CBDDE81E462C867F26DC496121C0AEDDDED2C98E473E14613ED324E48F5CEDB8CBDDE81E46673DDD499F05CDE90051DC7FCD18BB65C663B69D7AE268F9E095783F8A398CF6673DDD499F05CDE90051DC7FCD18BB65C663B69D7AE268F9E095783F8A398CF6E7471E6B7F8ED496B7D706A57B0C1B6CF271E1809BE50E85AE4E0A6C3654CAB8CFC4F794FDB227DF19B152413A37B7237C158DFF28BE32F26D3BE18603CDC698CFC4F794FDB227DF19B152413A37B7237C158DFF28BE32F26D3BE18603CDC69A69D6C728D83E6DE454DBF860AB000FD3B5AE577E0D7985A33F9B0A1FC0B08C4A69D6C728D83E6DE454DBF860AB000FD3B5AE577E0D7985A33F9B0A1FC0B08C4
